video_id,video_name,sheet,id,name,description,exercise_type,catalogId,default_sets,default_reps,default_duration,rep_duration_seconds,is_favorite,has_video,muscle_groups,tags,benefits,limitations,best_timing,suggested_combinations,notes,exercise_references
875612,Chair Squat to Toe Stand (female)???,Videos,chair-squat,Chair Squat,Sit-to-stand using a chair.,repetition-based,women-health,3,12,,2,false,false,"quads,glutes,hamstrings,core","category:strength,lower-body,quads,glutes","Strengthens thighs, hips, glutes; may support bone density.",Avoid with severe knee pain.,Morning or during work breaks.,"wall-push-up,glute-bridge",Supports bone health focus during menopause.,NHS Fitness Studio Exercises
766112,Forward and Top Wall Push (female)???,Videos,wall-push-up,Wall Push-Up,Standing push-up against a wall.,repetition-based,women-health,3,10,,2,false,false,"chest,shoulders,triceps,core","category:strength,upper-body,chest,arms",Strengthens chest shoulders and arms.,Avoid with shoulder injuries.,"Anytime, even post-meal.","chair-squat,desk-plank",Gentle option for postpartum women.,NHS Fitness Studio Exercises
783212,Tabletop Plank Raise and Reach (female)???,videos,desk-plank,Desk Plank,Forearms on desk; hold body in a straight line.,time-based,women-health,,,30,,false,false,"core,abs,shoulders","category:core,shoulders,anti-extension",Strengthens core and shoulders.,Avoid with wrist/shoulder pain.,Midday break.,"wall-push-up,bird-dog",Safe for most life stages.,NHS Fitness Studio Exercises
013512,Bird Dog (female),Videos,bird-dog,Bird-Dog,"On hands/knees, extend opposite arm and leg.",repetition-based,women-health,3,8,,2,false,true,"core,back,glutes,shoulders","category:core,back,balance",Improves balance; strengthens back and abs.,Avoid with wrist injury.,Morning.,"glute-bridge,cat-cow-stretch",Gentle core work for postpartum recovery.,NHS Fitness Studio Exercises
118212,Kneeling Push-up (female),Videos,modified-push-up,Modified Push-Up,Knees down; push-up pattern.,repetition-based,women-health,2,10,,2,false,false,"chest,shoulders,triceps,core","category:strength,upper-body,chest,arms",Strengthens chest and arms.,Avoid with wrist pain.,Anytime.,"chair-squat,glute-bridge",Gentler than full push-ups; postpartum-friendly.,NHS Fitness Studio Exercises
025412,Circles Arm (female),Videos,arm-circles,Arm Circles,Circle arms forward and back.,time-based,women-health,,,25,,false,false,"shoulders,mobility","category:flexibility,shoulder-mobility,warm-up",Improves shoulder mobility; warms muscles.,Avoid with shoulder pain.,Warm-up or micro-break.,"shoulder-rolls,wall-push-up",Useful for premenstrual tension relief.,NHS Fitness Studio Exercises
080112,Step-up (female),Videos,step-up-stair,Step-Up (Stair),Step onto a stair; alternate legs.,repetition-based,women-health,3,10,,2,false,false,"quads,glutes,hamstrings","category:strength,quads,glutes,functional",Strengthens quads and glutes.,Avoid with knee issues.,Morning or afternoon.,"chair-squat,calf-raise",Great daily functional move for older women.,NHS Fitness Studio Exercises
427612,Neck Circle Stretch (female),Videos,neck-rolls,Neck Rolls,Gentle circular neck movement.,repetition-based,women-health,1,8,,2,false,false,"flexibility,mobility","category:flexibility,neck,mobility,tension-relief",Relieves stiffness.,Avoid with neck injury.,Morning or after work.,"shoulder-rolls,seated-spinal-twist",Useful for desk workers.,Mayo Clinic – Healthy Lifestyle: Fitness
069512,Seated Twist (straight arm),Videos,seated-spinal-twist,Seated Spinal Twist,"Seated, gently twist torso.",time-based,women-health,,,20,,false,false,"flexibility,core,obliques,back","category:flexibility,spine,rotation,mobility",Improves spine flexibility.,Avoid with back problems.,Evening stretch.,"neck-rolls,shoulder-rolls",May relieve bloating during menstruation.,Mayo Clinic – Healthy Lifestyle: Fitness
078912,Standing Hamstring Stretch (female),Videos,hamstring-stretch,Hamstring Stretch,Extend leg and hinge forward to stretch hamstrings.,time-based,women-health,,,25,,false,false,"flexibility,hamstrings,back","category:flexibility,hamstrings,posterior-chain,mobility",Stretches hamstrings and back.,Avoid with acute hamstring injury.,Morning or post-workout.,"calf-stretch,quad-stretch",Supports mobility for older women.,Mayo Clinic – Healthy Lifestyle: Fitness
844312,Standing Calf Stretch against Wall (female),Videos,calf-stretch,Calf Stretch,Push against wall with heel down.,time-based,women-health,,,25,,false,false,"flexibility,calves","category:flexibility,calves,ankle-mobility",Stretches calf; improves ankle mobility.,Avoid with Achilles issues.,Anytime.,"hamstring-stretch,quad-stretch",Helpful after long standing.,Mayo Clinic – Healthy Lifestyle: Fitness
094012,Quadriceps Stretch (female),Videos,quad-stretch,Quad Stretch,Stand and pull ankle to glutes; keep knees together.,time-based,women-health,,,25,,false,false,"flexibility,quads,balance","category:flexibility,quads,balance,mobility",Stretches quadriceps; challenges balance.,Avoid with knee issues.,Post-workout.,"hamstring-stretch,calf-stretch",Supports knee health.,Mayo Clinic – Healthy Lifestyle: Fitness
953212,Sitting Legs Extended to Butterfly Stretch (female),Videos,hip-opener,Hip Opener (Butterfly),Seated butterfly stretch; soles together; knees open.,time-based,women-health,,,25,,false,false,"flexibility,hips","category:flexibility,hips,inner-thighs,mobility",Stretches hips and inner thighs.,Avoid with hip pain.,Evening relaxation.,"cat-cow-stretch,glute-bridge",Reduces menstrual tension.,Mayo Clinic – Healthy Lifestyle: Fitness
071912,Side Stretch Crunch (female)???,Videos,side-stretch,Side Stretch,Reach arm overhead and bend to the side.,time-based,women-health,,,20,,false,false,"flexibility,obliques,back","category:flexibility,lats,obliques,spine",Stretches side body and spine.,Avoid with back pain.,Morning or evening.,"seated-spinal-twist,cat-cow-stretch",Relieves cramps and bloating.,Mayo Clinic – Healthy Lifestyle: Fitness
569012,Marching On Spot (female),Videos,marching-in-place,Marching in Place,March on the spot; lift knees.,time-based,women-health,,,60,,false,false,"cardio,legs","category:cardio,low-impact,warm-up,circulation",Improves circulation; raises heart rate.,Avoid with hip/knee pain.,Morning warm-up.,"arm-circles,step-touch",Boosts energy during PMS fatigue.,WHO Physical Activity Guidelines
769712,Side Step Crossover Arms (female),Videos,step-touch,Step Touch,Step side-to-side; light touch.,time-based,women-health,,,60,,false,false,"cardio,legs","category:cardio,coordination,low-impact",Improves coordination; mild cardio.,Avoid with severe joint pain.,Anytime.,"marching-in-place,arm-circles",Low impact cardio suitable for most women.,WHO Physical Activity Guidelines
548612,Jack Step (female),Videos,jumping-jacks-modified,Jumping Jacks (Modified),Step side and raise arms (no jump).,time-based,women-health,,,30,,false,false,"cardio,legs,shoulders","category:cardio,low-impact,arms,legs",Cardio; strengthens legs and arms.,Avoid with joint pain.,Morning or midday.,"marching-in-place,step-touch",Low-impact version for seniors.,WHO Physical Activity Guidelines
925212,Side Step Hands On Waist (female),Videos,side-steps-cardio,Side Steps,Rhythmic side-to-side stepping.,time-based,women-health,,,60,,false,false,"cardio,glutes,legs","category:cardio,glutes,coordination,low-impact",Cardio with coordination; targets glute medius.,Avoid with hip/knee issues.,Warm-up or cool-down.,"marching-in-place,step-touch",Great for seniors.,WHO Physical Activity Guidelines
314812,Pelvic Tilt (female),Videos,pelvic-tilts,Pelvic Tilts,Lie on back; gently tilt pelvis upward.,repetition-based,women-health,3,12,,2,false,false,"core,back","category:core,pelvic-floor,low-back",Strengthens lower back and core.,Avoid during back pain flare.,Morning or evening.,"glute-bridge,cat-cow-stretch",Great for postpartum recovery.,NHS Women's Health
,,,shoulder-rolls,Shoulder Rolls,Circle shoulders forward and back.,repetition-based,women-health,1,12,,2,false,false,"shoulders,mobility","category:flexibility,shoulders,mobility,tension-relief",Relieves tension; improves shoulder mobility.,Avoid with shoulder inflammation.,Anytime.,"neck-rolls,cat-cow-stretch",Supports posture habits.,Mayo Clinic – Healthy Lifestyle: Fitness
,,,chest-opener,Chest Opener,Clasp hands behind back and open chest.,time-based,women-health,,,25,,false,false,"flexibility,chest,shoulders","category:flexibility,chest,posture",Improves posture; stretches chest.,Avoid with shoulder pain.,Morning breaks.,"shoulder-rolls,arm-circles",Good for desk posture.,Mayo Clinic – Healthy Lifestyle: Fitness
,,,seated-cardio-arm-pumps,Seated Cardio (Arm Pumps),Seated marching with arm pumps.,time-based,women-health,,,60,,false,false,"cardio,shoulders","category:cardio,seated,low-impact,accessible",Raises heart rate while seated.,Avoid with severe mobility issues.,Office or flights.,"seated-twists,ankle-circles",Excellent for older women and some post-op scenarios.,WHO Physical Activity Guidelines
,,,heel-to-toe-walk,Heel-to-Toe Walk,"Walk in a straight line, heel to toe.",repetition-based,women-health,2,12,,1.2,false,false,"balance,legs,core","category:balance,coordination",Improves coordination and balance.,Avoid with dizziness.,Morning walk.,"single-leg-stand,calf-raise",Helps prevent falls in seniors.,Mayo Clinic – Balance Training

,,,balance-hold-arm-raise,Balance Hold with Arm Raise,Single-leg balance while raising arms overhead.,time-based,women-health,,,18,,false,false,"balance,legs,core,shoulders","category:balance,posture,strength","Improves balance, posture, and strength.",Avoid with shoulder pain.,Anytime.,"calf-raise,arm-circles",Enhances posture for office workers.,Mayo Clinic – Balance Training
,,,tandem-balance,Tandem Balance,Stand heel-to-toe and hold balance.,time-based,women-health,,,25,,false,false,"balance,legs,core","category:balance,focus,stability",Improves balance and focus.,Avoid with dizziness.,Morning focus practice.,"single-leg-stand,heel-to-toe-walk",Great fall-prevention drill for seniors.,Mayo Clinic – Balance Training
,,,chair-posture-hold,Chair Posture Hold,Sit upright with neutral spine; hold posture.,time-based,women-health,,,45,,false,false,"core,back","category:balance,posture,core,awareness",Improves posture awareness and core endurance.,Avoid with acute back pain.,Anytime (office friendly).,"seated-twists,shoulder-rolls",Good habit during menopause/posture changes.,Mayo Clinic – Balance Training
,,,kegel-exercise,Kegel Exercise,Contract and relax pelvic floor muscles.,repetition-based,women-health,3,10,,1.5,false,false,core,"category:core,pelvic-floor,bladder-control",Strengthens pelvic floor.,Avoid with urinary infection.,Anytime.,"pelvic-tilts,glute-bridge",Supports bladder health postpartum and during menopause.,NHS Women's Health
,,,dance-moves-basic,Dance Moves (Basic),Simple rhythmic steps to music.,time-based,women-health,,,90,,false,false,"cardio,full-body,flexibility","category:cardio,dance,mood,cardio","Improves mood, cardio, and flexibility.",Avoid with dizziness.,"Evening, with music.","arm-circles,side-steps-cardio",Supports mood swings during PMS/menopause.,WHO Physical Activity Guidelines
,,,gentle-yoga-menstrual,Gentle Yoga Flow (Menstrual),Light sequence of relaxing yoga poses.,time-based,women-health,,,480,,false,false,"flexibility,core,back","category:flexibility,relaxation,cramp-relief,yoga",Relieves cramps and promotes relaxation.,"Avoid if pain is severe; consult clinician.",During menstruation.,"cat-cow-stretch,seated-spinal-twist",Period pain relief focus.,WHO Women's Health
,,,breathing-exercise,Breathing Exercise,Slow deep belly breathing.,time-based,women-health,,,150,,false,false,core,"category:breathing,relaxation,stress",Reduces stress; improves oxygenation.,Stop if dizziness occurs.,Morning and evening.,"gentle-yoga-menstrual,seated-twists",Helps relieve menopause-related anxiety.,WHO Women's Health
,,,prenatal-stretch,Prenatal Stretch,Gentle hip/leg stretches suitable for pregnancy.,time-based,women-health,,,480,,false,false,"flexibility,hips,legs,back","category:flexibility,prenatal,hips,legs",Relieves common pregnancy discomforts.,Only with clinician approval.,Anytime when cleared.,"pelvic-tilts,breathing-exercise",For pregnant women only.,NHS Pregnancy Health
,,,postnatal-core,Postnatal Core,Gentle core re-activation sequence.,repetition-based,women-health,3,10,,2,false,false,"core,back","category:core,postnatal,recovery",Helps restore core strength postpartum.,"Avoid too soon after birth; seek clearance.",After medical clearance.,"pelvic-tilts,glute-bridge",Supports gradual postpartum recovery.,NHS Pregnancy Health

247112,Glute Bridge Two Legs on Floor (female),Videos,glute-bridge,Glute Bridge,Lie on back; lift hips by squeezing glutes.,repetition-based,women-health,3,12,,2,false,false,"glutes,hamstrings,core","category:strength,glutes,hamstrings,core",Strengthens glutes core and hamstrings.,Avoid with lower back pain.,Morning or evening.,"chair-squat,bird-dog",May reduce back discomfort post-menstruation.,NHS Fitness Studio Exercises
061212,Lunge (female),Videos,lunge,Lunge,Step forward and lower hips; alternate legs.,repetition-based,women-health,3,10,,2,false,false,"quads,glutes,hamstrings,calves,balance","category:strength,legs,glutes,balance","Strengthens legs, balance, and glutes.",Avoid with knee issues.,Morning or afternoon.,"chair-squat,calf-raise",Supports lower-body strength during menopause bone-health focus.,NHS Fitness Studio Exercises
301812,Standing Calf Raise (female),Videos,calf-raise,Calf Raise,"Rise onto toes, lower slowly.",repetition-based,women-health,3,15,,2,false,false,calves,"category:strength,calves,ankle-stability,circulation",Strengthens calves; may improve circulation.,Avoid with ankle injury.,"Anytime; useful post-flight/long sitting.","lunge,single-leg-stand",Helpful for circulation during long sitting.,NHS Fitness Studio Exercises
525212,Cat Cow Stretch (female),Videos,cat-cow-stretch,Cat-Cow Stretch,"On all fours, alternate arching and rounding back.",repetition-based,women-health,1,8,,3,false,false,"flexibility,back,core","category:flexibility,spine,mobility",Increases spine flexibility.,Avoid with acute back injury.,Morning or evening.,"bird-dog,seated-spinal-twist",Can ease menstrual cramps.,Mayo Clinic – Healthy Lifestyle: Fitness
579712,Standing Butt Kick (female),Videos,butt-kicks-cardio,Butt Kicks,Kick heels to glutes while alternating legs.,time-based,women-health,,,30,,false,false,"cardio,hamstrings,legs","category:cardio,hamstrings,cardio",Cardio; strengthens hamstrings.,Avoid with knee issues.,Anytime.,"marching-in-place,step-touch",Good for an energy boost post-meals.,WHO Physical Activity Guidelines
381712,High Knee Run (female),Videos,high-knees-cardio,High Knees,Run in place with knees high.,time-based,women-health,,,30,,false,false,"cardio,core,legs","category:cardio,core,legs",Cardio; engages core and legs.,Avoid with knee/hip issues.,Morning or cardio warm-up.,"butt-kicks-cardio,step-touch",Good calorie-burning option.,WHO Physical Activity Guidelines
3714,Single Leg Stand,Illustrations,single-leg-stand,Single-Leg Stand,"Stand on one leg and balance.",time-based,women-health,,,25,,false,false,"balance,legs,core","category:balance,ankle-strength,stability",Improves balance and ankle strength.,Avoid with ankle instability.,Morning or evening.,"heel-to-toe-walk,calf-raise",Good entry balance drill for seniors.,Mayo Clinic – Balance Training

,,,seated-twists,Seated Twists,Seated; gently twist torso side to side.,repetition-based,women-health,3,10,,2,false,false,"flexibility,core,obliques,back","category:balance,mobility,posture,spine",Improves spine mobility and posture.,Avoid with severe back pain.,Office break.,"shoulder-rolls,side-stretch",Supports digestion during PMS.,Mayo Clinic – Balance Training
