id	name	description	exercise_type	catalogId	default_sets	default_reps	default_duration	rep_duration_seconds	is_favorite	has_video	muscle_groups	tags	benefits	limitations	best_timing	suggested_combinations	notes	exercise_references
lying-back-extension	Lying Back Extension	Lie face down and lift your upper body off the floor by contracting your lower back muscles.	repetition-based	women-health	3	12			FALSE	TRUE	lower-back\tglutes\tcore	equipment:bodyweight\tcategory:core\tlower-back\tposture	"Strengthens the lower back (erector spinae) and glutes	 which helps improve posture and spinal support. Builds foundational back strength for more demanding exercises	 and can reduce risk of lower back pain by targeting key stabilizer muscles."	"Avoid overextending the spine or jerking upwards	 which can strain the back. Keep movements controlled. Individuals with existing lower back injuries should start with gentle range of motion or consult a professional before doing this exercise."	"Perform in a core or back workout	 often after warm-up. It can be used in rehab or beginner routines focusing on back strength. Avoid doing it when the lower back is already fatigued (e.g.	 after heavy deadlifts)."	bird-dog\tglute-bridge	Exhale as you lift your chest and squeeze your back muscles; inhale as you lower down. Keep your neck neutral (looking down) to avoid strain. Start with small lifts if you're a beginner and gradually increase height as strength improves.	Nordic Fitness Education – Prone Back Extension Overview; https://nordicfitnesseducation.net/prone-lying-back-extension-2/
front-plank-toe-tap	Front Plank Toe Tap	"Hold a forearm plank position while alternating each foot out to the side and back in	 tapping the toe on the floor."	time-based	women-health			30		FALSE	TRUE	core\tabs\tshoulders\tglutes	equipment:bodyweight\tcategory:core\tdynamic\tstability	"Engages the entire core with added emphasis on the obliques and deep stabilizers due to the leg motion:contentReference[oaicite:2]{index=2}. The alternating toe taps also activate glutes and hip abductors	 and involve upper-body stabilization (shoulders and arms)	 making it a more challenging plank variation for improved core strength and balance."	"Maintain a stable trunk; avoid rotating or lifting your hips as you move your foot	 which can compromise form. Those with shoulder or lower back issues should be cautious and may need to perform a basic plank instead. Quality is more important than speed; perform taps slowly to keep the core engaged."	"Use in a core workout or as part of a HIIT circuit. It’s effective after mastering basic planks	 or as a warm-up to activate the core. Can be timed (e.g.	 30 seconds intervals) within circuits."	plank\tside-plank	"Keep hips level and core braced throughout. Breathe steadily. If tapping out to the side is too difficult	 start with smaller side steps. Focus on not letting your midsection sag or pike up as you move your feet."	Tom's Guide – Plank Toe Taps Benefits; https://www.tomsguide.com/news/i-did-90-plank-toe-taps-every-day-for-a-week-heres-what-happened :contentReference[oaicite:4]{index=4}
crab-twist-toe-touch	Crab Twist Toe Touch	"From a crab bridge position	 lift one hand to touch the opposite foot	 twisting your torso	 then alternate sides."	repetition-based	women-health	2	10			FALSE	TRUE	core\tobliques\tshoulders\tglutes\ttriceps	equipment:bodyweight\tcategory:core\tdynamic\trotation	"This full-body move builds core strength (especially the abs and obliques) while also working glutes and shoulders:contentReference[oaicite:5]{index=5}. It improves stability and coordination as you balance on one hand and opposite foot	 and increases flexibility through the twisting motion and hamstring reach. Also elevates heart rate	 adding a mild cardio component."	Requires shoulder and wrist stability; those with shoulder or wrist problems should modify (keep hips lower or limit range of reach). Avoid dropping hips—keep your glutes engaged to maintain the bridge. Move in a controlled manner to avoid strain; don't worry if you can't touch your toe at first (reach as far as comfortable).	"Great in a core circuit or as a dynamic warm-up for full-body workouts. Can be included toward the middle of a workout when core and shoulders are warmed up. Because it challenges balance	 it's best done when you are not overly fatigued."	reverse-tabletop\tbird-dog	"Ensure your supporting hand is directly under your shoulder. Exhale as you reach toward your foot	 inhale as you return to crab position. If needed	 start by touching knee or shin instead of toe. Practice the movement slowly to master balance	 then increase speed for more challenge."	TrainWell – Crab Toe Touch Overview; https://www.trainwell.net/exercises/crab-toe-touch :contentReference[oaicite:6]{index=6}
standing-side-crunch	Standing Side Crunch	"Stand upright and bend sideways at the waist	 bringing your upper body toward your hip on one side	 then return to center and repeat on the other side."	repetition-based	women-health	2	12			FALSE	TRUE	core\tobliques\tabs	equipment:bodyweight\tcategory:core\tdynamic\tstanding	"Emphasizes the oblique muscles by working them through lateral flexion of the spine. This exercise helps strengthen the sides of your abdominals	 contributing to a more stable core and better side-bending mobility. Because it's done standing	 it also engages your legs slightly for balance and can improve functional movement (bending to the side) useful in daily activities."	"Avoid leaning forward or backward – the movement should be purely sideways. Do not jerk or bounce; use a controlled motion to prevent strain in the lower back. Individuals with lower back issues should bend only within a comfortable range. If balance is an issue	 you can do this near a wall for support."	"Use it in an abdominal or core workout	 typically after heavier compound exercises. It also fits well into warm-ups to gently activate the obliques. Can be done daily due to low strain	 or during breaks to alleviate stiffness from sitting."	side-bend-with-weight\tstanding-torso-twists	"Place your hand on the side of your head (or slide it down your thigh) as you crunch to the side	 and avoid shrugging your shoulder. Focus on the mind-muscle connection with your obliques – feel them contract as you bend. Keep your core engaged and knees soft (not locked) during the movement."	Healthline – Oblique Exercises; https://www.healthline.com/health/oblique-exercises (for general oblique strengthening benefits)
bodyweight-side-squat-step	Bodyweight Side Squat Step	"Step out to the side into a squat	 lowering your hips back and down	 then push back up and step feet together. Alternate or repeat on the same side as required."	repetition-based	women-health	3	10			FALSE	TRUE	quads\tglutes\thamstrings\tadductors	equipment:bodyweight\tcategory:strength\tlower-body\tglutes\tquads	"Strengthens the major muscles of the lower body	 particularly the quadriceps	 glutes	 and hamstrings	 while also engaging the inner thighs (adductors) due to the lateral movement. Side squats improve hip and groin flexibility and develop lateral movement capability	 which is often neglected. This exercise can help balance muscle development between inner and outer thighs and enhance stability in side-to-side motions."	"Keep your knee tracking in line with your toes when you squat to the side (do not let it cave inward). Those with knee issues should start with a shallow squat or smaller step. Maintain an upright chest and flat back to avoid back strain. If balance is difficult	 perform the movement with a shorter step or hold onto a stable object for support."	"Include in lower-body strength workouts	 often after bilateral squats or lunges. It's useful in functional training days or sports conditioning to train lateral movements. Can also serve as a warm-up movement to open the hips and activate leg muscles before heavier lifts."	lunges\tstanding-hip-abduction	"Step out wider for more glute emphasis	 or shorter if focusing on quads. Ensure your stepping foot is flat and weight is primarily on the stepping leg's heel as you squat. You can perform all reps to one side then switch	 or alternate sides for each rep depending on preference."	ACE Fitness – Lateral Movements in Training; https://www.acefitness.org/education-and-resources/lifestyle/blog (discusses benefits of lateral squats/lunges)
hip-roll-plank	Hip Roll Plank	"From a forearm plank	 rotate your hips and lower one side toward the floor	 then lift back up and rotate to the other side (plank hip dips)."	repetition-based	women-health	2	10			FALSE	TRUE	core\tobliques\tabs\tshoulders	equipment:bodyweight\tcategory:core\tdynamic\trotation\tobliques	"Targets the obliques by adding a twisting motion to a standard plank	 thus strengthening the sides of the core and improving spinal mobility in a controlled manner. Also challenges the deep core stabilizers and lower back as you fight to keep control during each dip. Shoulders and upper body benefit from holding the plank position throughout	 building endurance in those areas. Overall	 it enhances core stability with an element of rotational strength."	"Ensure the movement comes from your hips and core	 not by swinging your arms. Avoid letting your hips sag too low as you rotate	 which can strain the lower back – maintain a slight tuck of the pelvis. Individuals with lower back or spine issues should twist only within a pain-free range or omit the rotation. As this is an advanced plank variation	 build a solid basic plank first."	"Place it in the middle of your core routine	 after simpler plank holds but before any exhaustive static holds. It can also be used in circuit training for core. Avoid doing it when extremely fatigued	 as maintaining form during the twist is crucial."	side-plank\tRussian-twists	"Move slowly and deliberately; a slow rotation engages the muscles more than a quick drop. Breathe out as your hip moves toward the floor	 and breathe in as you come back through center. To modify	 you can perform the motion from a knees-down plank position."	Portsmouth Sports Centre – Plank Variations; https://sport.port.ac.uk (plank toe taps & dips tips)
bodyweight-pulse-squat	Bodyweight Pulse Squat	Lower into a squat and hold the bottom position while performing small pulses up and down.	repetition-based	women-health	2	15			FALSE	TRUE	quads\tglutes	equipment:bodyweight\tcategory:strength\tlower-body\tquads\tendurance	"Keeps constant tension on the quadriceps and glutes	 which helps build muscular endurance and a deep burn that can contribute to muscle toning. Pulse squats also improve your ability to maintain proper squat form under fatigue and strengthen the muscles and connective tissues around the knees through the extended time under tension. This exercise is excellent for finishing off a leg workout to fully fatigue the thighs."	"Pulsing in a deep squat can be tough on the knees if done excessively or with poor form – ensure your knees are tracking in line with your toes and not jutting far past them. Keep the range of the pulse moderate (avoid bouncing at the extreme bottom). Individuals with knee pain should use a higher squat position or avoid pulses. As with any squat	 maintain a neutral spine (chest up	 back flat)."	"Often used at the end of a leg workout or superset to burn out the quads and glutes. Also popular in barre or high-rep training routines. Because it induces a burn quickly	 it’s typically done after heavier strength moves (like regular squats or lunges) as a finisher."	wall-sit\tjump-squat	"Stay low: do not rise above halfway up during pulses. Focus on squeezing your glutes and quads throughout the movement. Start with a shorter duration (or fewer pulses) if you're new to it	 as it intensifies quickly. To increase difficulty	 you can hold a light weight or pulse for longer duration instead of increasing reps."	Healthline – Bodyweight Squat Variations; https://www.healthline.com/health/fitness/squat-variations (mentions pulse squats for endurance)
side-plank-rotation	Side Plank Rotation	"Begin in a side plank (forearm on the ground). Rotate your torso downward	 reaching your top arm under your body	 then rotate back to side plank with your top arm raised."	repetition-based	general-fitness	2	8			FALSE	TRUE	core\tobliques\tshoulders	equipment:bodyweight\tcategory:core\tadvanced\trotation\tobliques	"Combining a side plank with a twisting motion strengthens arms	 shoulders	 and obliques. It enhances core stability and upper body strength by adding dynamic rotation to the side plank."	"This is an advanced exercise; you should be comfortable holding a basic side plank first. Avoid dropping your hips as you rotate – maintain a straight line. Those with shoulder issues should proceed cautiously	 as the supporting shoulder bears significant load (consider doing it on your elbow or lowering the hips for a modification). Control the rotation to avoid torqueing the lower back."	"Include in core workouts once you've mastered static planks. Often placed after conventional planks or side planks. Due to its difficulty	 perform it earlier in the core routine when you are less fatigued	 to maintain good form through the rotations."	plank\tRussian-twist	"Reach under slowly and feel your obliques contract	 then open back up fully to the side plank. Exhale during the twist under to engage the core	 inhale as you return to the side plank. If needed	 drop your bottom knee to the ground as a regression. Keep the movement smooth to prevent wobbling."	Healthline – Side Plank with Rotation; https://www.healthline.com/health/best-core-exercises (describes benefits of adding rotation to side planks)
kneeling-backward-hip-circles	Kneeling Backward Hip Circles	"On hands and knees	 extend one leg back and make large circular motions with that leg going backward	 making hip circles."	repetition-based	general-fitness	2	10			FALSE	TRUE	glutes\thips\tcore	equipment:bodyweight\tcategory:flexibility\thip-mobility\twarm-up	"Increases hip joint mobility by taking the hip through a wide range of motion. It warms up and loosens the gluteal muscles and hip rotators	 which can improve performance in squats	 kicks	 and other lower-body exercises. This move also engages the core for stability (preventing torso movement as the hip moves)	 thereby gently strengthening abdominal muscles and lower back in a stabilizing role. Overall	 it aids in improving hip flexibility and can help reduce stiffness in the hip and lower back region."	"Keep the rest of your body still; avoid swaying your lower back or shoulders as you make the circle – the motion should isolate the hip. If you have hip impingement or pain	 make smaller circles within a comfortable range. Ensure your supporting knee is on a cushioned surface to avoid discomfort. People with knee issues can place a pad under the knee or perform a standing version (leg swings) if kneeling is problematic."	"Ideal as a dynamic warm-up exercise before any lower-body workout	 running	 or sports. It can also be part of a mobility routine on recovery days. Typically done early in a session to mobilize the joints before heavy activity."	cat-cow-stretch\tleg-swings	"Perform circles slowly and deliberately	 about 5 in one direction then 5 in the opposite direction for each leg. Imagine drawing a big circle with your knee. Keep your core engaged to minimize arching of the back. Look slightly forward (neutral neck) and keep hands pressed firmly into the floor to stabilize your upper body."	Verywell Fit – Hip Mobility Drills; https://www.verywellfit.com/best-hip-mobility-exercises (includes quadruped hip circles for mobility)
lying-floor-abduction	Lying Floor Abduction & Adduction	Lie on your back with legs extended up toward the ceiling and open your legs outward (abduction) then bring them back together (adduction).	repetition-based	general-fitness	2	15			FALSE	TRUE	adductors\thips\tcore	equipment:bodyweight\tcategory:strength\tlower-body\tinner-thighs	"Strengthens the inner thigh muscles (adductors) as they work to pull the legs back together against gravity:contentReference[oaicite:14]{index=14}. Also engages the outer hip muscles during the opening phase and challenges the lower abs and core to stabilize the pelvis while the legs move. This exercise can improve hip flexibility and stability	 and tone the inner thighs	 which supports better knee alignment and overall leg strength."	"Press your lower back into the floor as much as possible to protect your spine – if you feel your back arching or straining	 limit the range of motion or bend your knees slightly. Avoid rapid or uncontrolled leg movements; move smoothly to prevent groin strain. If any pain in the hips or lower back occurs	 reduce range or discontinue."	"Can be included in a core or leg workout	 often after multi-joint leg exercises as an isolation move for the inner thighs. Also useful in Pilates or yoga-inspired routines. It's effective towards the end of a workout for targeted toning	 or as part of a morning routine to gently work the hips and core."	glute-bridge\tlying-leg-circles	"Exhale and engage your core when bringing the legs together – think of using your inner thighs to 'squeeze' an imaginary object. Inhale as you open the legs. Start with a smaller range if you're a beginner	 gradually increasing as flexibility and strength improve. You can place your hands under your pelvis for support if needed."	Lift Manual – Air Twisting Crunch (for general reference on supine leg movements and core engagement):contentReference[oaicite:15]{index=15}
