id,name,description,exercise_type,default_duration,muscle_groups,base_tags,benefits,limitations,suggested_combinations,catalogs
plank,Plank,"Hold your body in a straight line, supported by forearms and toes",time_based,30,core|abs|shoulders,,"Strengthens core muscles (abs, obliques, etc.), helping to protect the spine and improve posture. Also convenient with no equipment needed, and builds stability for everyday movements.",Isometric holds beyond ~2 minutes yield diminishing returns. Poor form (sagging hips or shoulders) can cause pain. People with high blood pressure should avoid very long plank holds as they can raise blood pressure. Modify if you have wrist or shoulder issues (drop to knees or use an incline).,side-plank|dead-bug,general-fitness
side-plank,Side Plank,"Hold your body sideways, supported by one forearm",time_based,20,core|obliques|shoulders,,Emphasizes the oblique muscles and lateral core stability. Helps stabilize the spine and address side-to-side muscle imbalances. Also improves shoulder and hip endurance on each side.,"Puts more pressure on one shoulder – if you have shoulder pain, start on your knees or avoid. Keep hips from dropping; a weak core may make it hard to hold, so build up gradually. Avoid if you feel sharp shoulder or arm pain.",plank|dead-bug,general-fitness
mountain-climbers,Mountain Climbers,Alternate bringing knees to chest in plank position,time_based,30,core|shoulders|legs|cardio,,"Full-body movement that elevates your heart rate, improving cardiovascular fitness. Strengthens core and shoulders (holding plank position) and legs (due to rapid knee drives). Regular practice can enhance agility and coordination.","High-impact on wrists and toes – use a mat or incline if wrists hurt. Keep back flat; if hips pike up or sag, slow down. Avoid if you have uncontrolled lower back or shoulder pain. Those with knee issues should step instead of jump to reduce impact.",burpees|jumping-jacks,general-fitness
bicycle-crunches,Bicycle Crunches,Alternate elbow to opposite knee in cycling motion,repetition_based,1.1,core|abs|obliques,,"One of the most effective abdominal exercises – it ranks top for activating the rectus abdominis and obliques. Builds core strength and stability, and improves coordination with its cross-body motion. Also helps train the muscles for rotational movements, benefiting functional core use.","Can strain the neck if done improperly (avoid pulling on your neck). Keep lower back pressed to the floor; if it arches, slow down or shorten range. Individuals with lower back issues should proceed with caution or opt for gentler core moves.",plank|russian-twists,general-fitness
push-ups,Push-ups,Lower and raise body using arms in prone position,repetition_based,2.86,chest|shoulders|triceps|core,,"Strengthens the chest, shoulders, and triceps, while engaging the core for stability. It’s a foundational upper-body exercise that also improves functional strength for pushing motions. Can even support heart health – higher push-up capacity has been linked to lower cardiac risk:.","Doing too many without variation can lead to a plateau in strength gains. Poor form (such as flared elbows or sagging hips) can strain shoulders or lower back. If you experience wrist pain, use push-up bars or do them on your knuckles. Individuals with shoulder injuries should use a reduced range or skip if painful.",squats|lunges,general-fitness
squats,Squats,"Lower body by bending knees, then return to standing",repetition_based,2,quads|glutes|hamstrings|core,,"Engages most major leg muscles (glutes, quadriceps, hamstrings) and core, making it a highly functional exercise. Helps build lower-body strength for daily activities like lifting or climbing stairs. Also improves balance and flexibility when done through a full range of motion, and can boost calorie burn due to using large muscle groups:.","Proper form is crucial – knees should track over toes, not cave inward, and heels stay down. Going too heavy or too deep without flexibility can strain knees or back. Those with knee or back issues should squat to a comfortable depth (or use a chair as a guide) and keep the back neutral. If any sharp pain occurs, stop and check your form or consult a trainer.",lunges|wall-sit,general-fitness
lunges,Lunges,"Step forward and lower body, alternating legs",repetition_based,2,quads|glutes|hamstrings|calves,,"Works all major muscles of the legs (glutes, quads, hamstrings) and improves balance through its unilateral nature. Lunges help correct strength imbalances between legs and enhance hip mobility. They also engage core and stabilizer muscles to keep you upright, benefiting overall stability and coordination.","Ensure your front knee does not extend beyond your toes to protect the joint. People with knee problems might find forward lunges difficult – they can try reverse lunges which are easier on the knees. Keep your torso upright and avoid leaning forward excessively. If balance is an issue, perform lunges next to a wall or hold onto something for support initially.",squats|calf-raises,"general-fitness,women-health"
wall-sit,Wall Sit,"Slide down wall until thighs parallel, hold position",time_based,30,quads|glutes|calves|core,,"Isometric exercise that builds endurance in the quadriceps, glutes, and calves. Great for strengthening the legs without movement, and it also engages the core and lower back for stabilization. Wall sits can improve muscular stamina useful for skiing or hiking, and have been shown to help lower blood pressure when practiced regularly:.","If you have knee pain, start with a higher “seat” (less bend) or shorter hold. Do not drop below a 90° knee angle, as that increases knee stress. Ensure your lower back is against the wall to avoid strain. People with uncontrolled hypertension should still be cautious (don’t hold your breath) despite long-term benefits; exhale slowly while holding.",squats|lunges,general-fitness
burpees,Burpees,"Squat, jump back to plank, push-up, jump feet back, jump up",repetition_based,4.2,full-body|chest|shoulders|legs|core|cardio,,"A vigorous full-body exercise that combines strength and cardio. Burpees work your legs, core, chest, and shoulders, and they rapidly increase heart rate to improve cardiovascular endurance. They burn a lot of calories and can enhance explosive power (through the jump) and overall agility.","Burpees are very intense; beginners should start with fewer reps or step-back variations to avoid injury. They can put stress on wrists, shoulders, and knees due to the quick transitions. Maintain a controlled pace to ensure good form – sloppy burpees can strain the lower back or shoulders. If you have joint issues, consider modifying (e.g., no jump, or step instead of jump back).",mountain-climbers|jumping-jacks,general-fitness
jumping-jacks,Jumping Jacks,"Jump feet apart while raising arms, then jump back together",time_based,30,cardio|legs|shoulders,,"Simple but effective full-body cardio exercise. Jumping jacks raise your heart rate, burn calories, and can improve aerobic endurance. They engage the legs (calves, thighs) and shoulders, and over time can even help bone density due to the impact from jumping. They also boost coordination by moving arms and legs together.","As a high-impact move, they may aggravate knee or ankle issues if done excessively or on a hard surface. If you have joint pain, do a lower impact version by stepping side to side instead of jumping. Wear supportive shoes and exercise on a shock-absorbing surface to protect your joints. Those with very low fitness should start with short sets since jacks can be surprisingly strenuous.",high-knees|butt-kicks,general-fitness
