id,name,description,exercise_type,catalogId,default_sets,default_reps,default_duration,rep_duration_seconds,is_favorite,has_video,muscle_groups,tags,benefits,limitations,best_timing,suggested_combinations,notes,exercise_references
plank,Plank,Hold your body in a straight line supported by forearms and toes,time-based,general-fitness,,,30,,false,true,"core,abs,shoulders","equipment:bodyweight,category:core,isometric,stability","Strengthens core muscles (abs, obliques, etc.), helping to protect the spine and improve posture. Also convenient with no equipment needed, and builds stability for everyday movements.","Isometric holds beyond ~2 minutes yield diminishing returns. Poor form (sagging hips or shoulders) can cause pain. People with high blood pressure should avoid very long plank holds as they can raise blood pressure. Modify if you have wrist or shoulder issues (drop to knees or use an incline).","Can be done at the end of a workout or as a quick core routine. Planking 2–4 times a week is effective. Also useful as a core activation during warm-ups or even daily during breaks:.","side-plank,dead-bug","Maintain a straight line from head to heels (no sagging hips). Breathe steadily and engage your abs and glutes throughout. Start with shorter holds (e.g., 20–30 seconds) and increase gradually.","Cleveland Clinic – Plank Benefits; https://health.clevelandclinic.org/plank-exercise-benefits | Harvard Health – Plank Exercise Tips; https://www.health.harvard.edu/blog/straight-talk-on-planking-2019111318304"
side-plank,Side Plank,Hold your body sideways supported by one forearm,time-based,general-fitness,,,20,,false,false,"core,obliques,shoulders","equipment:bodyweight,category:core,isometric,obliques","Emphasizes the oblique muscles and lateral core stability. Helps stabilize the spine and address side-to-side muscle imbalances. Also improves shoulder and hip endurance on each side.","Puts more pressure on one shoulder – if you have shoulder pain, start on your knees or avoid. Keep hips from dropping; a weak core may make it hard to hold, so build up gradually. Avoid if you feel sharp shoulder or arm pain.","Include in core workouts after mastering the basic plank. Often done after regular planks to further engage the obliques. It can be added to a yoga or Pilates routine as well.","plank,dead-bug","Keep body in one line without leaning forward or back. You can drop the bottom knee for a simpler modification. Press the forearm firmly into the floor and don't let the supporting shoulder collapse.","Cleveland Clinic – Side Plank Benefits; https://health.clevelandclinic.org/plank-exercise-benefits | Healthline – Side Plank Safety; https://www.healthline.com/health/side-plank"
mountain-climbers,Mountain Climbers,Alternate bringing knees to chest in plank position,time-based,general-fitness,,,30,,false,false,"core,shoulders,legs,cardio","equipment:bodyweight,category:core,dynamic,cardio","Full-body movement that elevates your heart rate, improving cardiovascular fitness. Strengthens core and shoulders (holding plank position) and legs (due to rapid knee drives). Regular practice can enhance agility and coordination.","High-impact on wrists and toes – use a mat or incline if wrists hurt. Keep back flat; if hips pike up or sag, slow down. Avoid if you have uncontrolled lower back or shoulder pain. Those with knee issues should step instead of jump to reduce impact.","Great in HIIT or circuit training as a cardio interval. Often used in warm-ups to raise body temperature or as part of a core/conditioning circuit. Try doing them for 20–30 second bursts with short rests.","burpees,jumping-jacks","Maintain a plank-like form while driving knees. Do not bounce your upper body; use your core to pull knees in. Beginners can go slower or do one leg at a time. Breathe continuously rather than holding your breath.","Healthline – Mountain Climbers Benefits; https://www.healthline.com/health/fitness/what-do-mountain-climbers-work | Verywell Fit – Mountain Climbers Precautions; https://www.verywellfit.com/mountain-climbers-exercise-3966947"
bicycle-crunches,Bicycle Crunches,Alternate elbow to opposite knee in cycling motion,repetition-based,general-fitness,3,15,,1.1,false,true,"core,abs,obliques","equipment:bodyweight,category:core,dynamic,obliques","One of the most effective abdominal exercises – it ranks top for activating the rectus abdominis and obliques. Builds core strength and stability, and improves coordination with its cross-body motion. Also helps train the muscles for rotational movements, benefiting functional core use.","Can strain the neck if done improperly (avoid pulling on your neck). Keep lower back pressed to the floor; if it arches, slow down or shorten range. Individuals with lower back issues should proceed with caution or opt for gentler core moves.","Do in the middle or end of an ab workout. Often paired with static core exercises (like planks) to comprehensively train the core. Because it can be intense, it's usually done after a warm-up when muscles are ready.","plank,russian-twists","Perform slowly and deliberately for best results – quality over speed. Focus on bringing your shoulder toward the opposite knee (not just elbow), and extend the opposite leg fully each rep. Exhale as you twist to engage deeper abs.","Bicycling – Bicycle Crunch Effectiveness; https://www.bicycling.com/training/a60659922/bicycle-crunches/ | Bicycling – Bicycle Crunch Form Tips; https://www.bicycling.com/training/a60659922/bicycle-crunches/"
push-ups,Push-ups,Lower and raise body using arms in prone position,repetition-based,general-fitness,3,8,,2.86,false,true,"chest,shoulders,triceps,core","equipment:bodyweight,category:strength,upper-body,chest,arms","Strengthens the chest, shoulders, and triceps, while engaging the core for stability. It's a foundational upper-body exercise that also improves functional strength for pushing motions. Can even support heart health – higher push-up capacity has been linked to lower cardiac risk:.","Doing too many without variation can lead to a plateau in strength gains. Poor form (such as flared elbows or sagging hips) can strain shoulders or lower back. If you experience wrist pain, use push-up bars or do them on your knuckles. Individuals with shoulder injuries should use a reduced range or skip if painful.","Usually done early in an upper-body workout when your arms are fresh. They can also be done daily in moderation as part of a morning routine or strength circuit, but allow rest days for recovery. Push-ups make a great warm-up for the upper body too, performed with modified intensity.","squats,lunges","Keep your body straight and core engaged throughout. Lower until your chest is near the floor (or as far as comfortable) and press up without locking elbows. Inhale on the way down, exhale as you push up. Start on your knees or against a wall if a full push-up is too challenging.","Healthline – Benefits of Push-ups; https://www.healthline.com/health/fitness-exercise/pushups-everyday | MedicalNewsToday – Push-up Risks; https://www.medicalnewstoday.com/articles/326149"
squats,Squats,Lower body by bending knees then return to standing,repetition-based,general-fitness,3,12,,2,false,false,"quads,glutes,hamstrings,core","equipment:bodyweight,category:strength,lower-body,glutes,legs","Engages most major leg muscles (glutes, quadriceps, hamstrings) and core, making it a highly functional exercise. Helps build lower-body strength for daily activities like lifting or climbing stairs. Also improves balance and flexibility when done through a full range of motion, and can boost calorie burn due to using large muscle groups:.","Proper form is crucial – knees should track over toes, not cave inward, and heels stay down. Going too heavy or too deep without flexibility can strain knees or back. Those with knee or back issues should squat to a comfortable depth (or use a chair as a guide) and keep the back neutral. If any sharp pain occurs, stop and check your form or consult a trainer.","Often placed at the beginning of a leg workout since it's a compound movement requiring full strength. Can be done with just body weight as a warm-up or mobility exercise, or weighted for strength early on. In general fitness routines, squats pair well with upper-body exercises in circuits.","lunges,wall-sit","Keep your chest up and core braced. Aim to squat until thighs are parallel to the ground (or as far as comfortable) while keeping knees behind toes and weight in your heels. Drive through the heels to stand and squeeze your glutes at the top. Ensure you maintain a neutral spine throughout.","Healthline – Squat Benefits; https://www.healthline.com/health/fitness-exercise/squats-benefits | Healthline – Squat Safety Tips; https://www.healthline.com/health/fitness-exercise/squats-benefits"
lunges,Lunges,Step forward and lower body alternating legs,repetition-based,general-fitness,3,10,,2,false,false,"quads,glutes,hamstrings,calves","equipment:bodyweight,category:strength,lower-body,glutes,legs,balance","Works all major muscles of the legs (glutes, quads, hamstrings) and improves balance through its unilateral nature. Lunges help correct strength imbalances between legs and enhance hip mobility. They also engage core and stabilizer muscles to keep you upright, benefiting overall stability and coordination.","Ensure your front knee does not extend beyond your toes to protect the joint. People with knee problems might find forward lunges difficult – they can try reverse lunges which are easier on the knees. Keep your torso upright and avoid leaning forward excessively. If balance is an issue, perform lunges next to a wall or hold onto something for support initially.","Include lunges in leg workouts after heavier lifts like squats, or in circuits. They are also great after a warm-up to activate glutes and legs, or as part of a dynamic warm-up for running. Because they can induce soreness, doing them 2–3 times a week with rest days in between is sufficient for most.","squats,calf-raises","Step far enough so that your front knee stays roughly above the ankle (not too far forward). Lower straight down by bending both knees, and avoid touching the back knee hard on the ground. Push through the heel of the front foot to rise back up. Keep your core engaged and torso vertical for balance.","Healthline – Benefits of Lunges; https://www.healthline.com/health/fitness-exercise/lunges-benefits | Healthline – Lunge Variations (Reverse Lunge); https://www.healthline.com/health/fitness-exercise/lunges-benefits"
wall-sit,Wall Sit,Slide down wall until thighs parallel hold position,time-based,general-fitness,,,30,,false,false,"quads,glutes,calves,core","equipment:bodyweight,category:strength,isometric,lower-body,quads","Isometric exercise that builds endurance in the quadriceps, glutes, and calves. Great for strengthening the legs without movement, and it also engages the core and lower back for stabilization. Wall sits can improve muscular stamina useful for skiing or hiking, and have been shown to help lower blood pressure when practiced regularly:.","If you have knee pain, start with a higher ""seat"" (less bend) or shorter hold. Do not drop below a 90° knee angle, as that increases knee stress. Ensure your lower back is against the wall to avoid strain. People with uncontrolled hypertension should still be cautious (don't hold your breath) despite long-term benefits; exhale slowly while holding.","Use as a finisher in leg workouts or during circuit training. For example, after doing dynamic exercises like squats or lunges, a wall sit can safely fatigue the muscles. Can also be done in daily routines (e.g., during a break) to build leg endurance:.","squats,lunges","Slide down until your thighs are parallel to the floor and knees are above ankles (knees about 90°). Keep your heels down and weight in them. Do not rest your hands on your thighs (let your legs do the work). Maintain normal breathing – avoid holding breath which can spike blood pressure.","Cleveland Clinic – Wall Sit Benefits; https://health.clevelandclinic.org/wall-sits | Cleveland Clinic – Wall Sit Form; https://health.clevelandclinic.org/wall-sits"
burpees,Burpees,Squat jump back to plank push-up jump feet back jump up,repetition-based,general-fitness,3,5,,4.2,false,true,"full-body,chest,shoulders,legs,core,cardio","equipment:bodyweight,category:strength,full-body,cardio,explosive","A vigorous full-body exercise that combines strength and cardio. Burpees work your legs, core, chest, and shoulders, and they rapidly increase heart rate to improve cardiovascular endurance. They burn a lot of calories and can enhance explosive power (through the jump) and overall agility.","Burpees are very intense; beginners should start with fewer reps or step-back variations to avoid injury. They can put stress on wrists, shoulders, and knees due to the quick transitions. Maintain a controlled pace to ensure good form – sloppy burpees can strain the lower back or shoulders. If you have joint issues, consider modifying (e.g., no jump, or step instead of jump back).","Often done at the end of a workout or in HIIT sessions as a high-intensity interval. Because they are fatiguing, using them in short bursts (like 10-15 reps or 30 seconds) with rest is common. They are also popular in bootcamp or CrossFit-style workouts for conditioning.","mountain-climbers,jumping-jacks","Keep a steady rhythm: squat, kick back to a firm plank, perform a push-up with a tight core, return feet under you, then jump up. Land softly on the jump to protect your knees. Breathing is important – exhale when jumping back and when jumping up. Quality over quantity: it's better to do fewer burpees with good form than many with poor form.","Healthline – Burpee Benefits; https://www.healthline.com/health/fitness-exercise/how-to-do-a-burpee | Healthline – Burpee Safety Tips; https://www.healthline.com/health/fitness-exercise/how-to-do-a-burpee"
jumping-jacks,Jumping Jacks,Jump feet apart while raising arms then jump back together,time-based,general-fitness,,,30,1.5,false,true,"cardio,legs,shoulders","equipment:bodyweight,category:cardio,full-body,coordination","Simple but effective full-body cardio exercise. Jumping jacks raise your heart rate, burn calories, and can improve aerobic endurance. They engage the legs (calves, thighs) and shoulders, and over time can even help bone density due to the impact from jumping. They also boost coordination by moving arms and legs together.","As a high-impact move, they may aggravate knee or ankle issues if done excessively or on a hard surface. If you have joint pain, do a lower impact version by stepping side to side instead of jumping. Wear supportive shoes and exercise on a shock-absorbing surface to protect your joints. Those with very low fitness should start with short sets since jacks can be surprisingly strenuous.","Great as a warm-up exercise to get blood flowing or as part of a cardio circuit. They can be done in short bursts (e.g., sets of 30 seconds) between strength exercises to keep heart rate up. Also useful as quick activity breaks during the day to energize yourself.","high-knees,butt-kicks","Stay light on your feet – land on the balls of your feet to reduce impact. Keep your knees slightly bent when you land to act as shock absorbers. Aim for a consistent rhythm and full range of motion (hands touching overhead, feet wide apart on each jump). Breathe steadily; exhale when legs and arms spread apart.","Healthline – Benefits of Jumping Jacks; https://www.healthline.com/health/fitness-exercise/jumping-jacks | Healthline – Jumping Jacks Risks; https://www.healthline.com/health/fitness-exercise/jumping-jacks"
